"dia_semana","fase_dia","total_mortos"
"DOMINGO","NOITE","13163"
"SABADO","NOITE","12148"
"SEXTA-FEIRA","NOITE","8711"
"DOMINGO","MADRUGADA","8698"
"DOMINGO","TARDE","7710"
"SABADO","TARDE","7092"
"SABADO","MADRUGADA","6425"
"QUINTA-FEIRA","NOITE","6353"
"QUARTA-FEIRA","NOITE","6124"
"SEGUNDA-FEIRA","NOITE","5876"
"SEXTA-FEIRA","TARDE","5852"
"DOMINGO","MANHA","5734"
"TERCA-FEIRA","NOITE","5702"
"SABADO","MANHA","5450"
"SEGUNDA-FEIRA","TARDE","5277"
"QUINTA-FEIRA","TARDE","5208"
"SEGUNDA-FEIRA","MANHA","5092"
"TERCA-FEIRA","TARDE","5009"
"QUARTA-FEIRA","TARDE","4909"
"SEXTA-FEIRA","MANHA","4675"
"SEGUNDA-FEIRA","MADRUGADA","4465"
"QUINTA-FEIRA","MANHA","4417"
"QUARTA-FEIRA","MANHA","4335"
"TERCA-FEIRA","MANHA","4207"
"SEXTA-FEIRA","MADRUGADA","3392"
"DOMINGO","NAO INFORMADO","2924"
"QUINTA-FEIRA","MADRUGADA","2790"
"QUARTA-FEIRA","MADRUGADA","2440"
"TERCA-FEIRA","MADRUGADA","2226"
"SABADO","NAO INFORMADO","1891"
"QUINTA-FEIRA","NAO INFORMADO","1526"
"SEGUNDA-FEIRA","NAO INFORMADO","1410"
"SEXTA-FEIRA","NAO INFORMADO","1353"
"QUARTA-FEIRA","NAO INFORMADO","1183"
"TERCA-FEIRA","NAO INFORMADO","990"
"DOMINGO","DESCONHECIDO","519"
"SABADO","DESCONHECIDO","508"
"SEGUNDA-FEIRA","DESCONHECIDO","374"
"QUINTA-FEIRA","DESCONHECIDO","350"
"QUARTA-FEIRA","DESCONHECIDO","350"
"SEXTA-FEIRA","DESCONHECIDO","349"
"TERCA-FEIRA","DESCONHECIDO","324"
